TSNE1,TSNE2
-13.060228,-2.9686997
2.5681934,1.171849
-9.601169,4.2829466
-9.085994,1.6513932
-6.6436214,0.5375809
-11.060468,1.378414
-14.898324,2.048063
-9.379112,12.585144
-14.466938,0.33727363
-11.755574,-0.31839788
-9.535422,1.9080999
-8.8377,4.8817153
-1.1562061,4.220561
-1.4769052,4.4327726
-13.236157,-2.5886009
-7.6796174,7.4132257
-12.4446335,-1.4311548
-8.94396,-0.5652751
-6.618205,0.5073451
3.3279064,5.474884
-8.555894,3.8391242
-8.58257,-1.4567274
-5.7778673,7.051075
-7.6832237,6.201007
-5.006559,11.988295
-11.899615,2.0792372
-8.832416,6.104611
-12.828756,1.7151537
-9.900618,4.1368937
-14.020919,1.816783
-8.224447,6.8884044
-5.5028296,8.62986
-14.705943,1.5256989
-9.504069,3.0105994
-13.602936,0.47116873
-14.232494,-3.4965518
-11.064507,3.763286
-18.59057,-3.2540765
-18.25316,-4.135578
-16.447588,-5.2898374
-17.168598,-2.07718
-20.41493,0.99627846
-18.540945,1.1719244
-17.58444,-2.158126
-19.23176,-1.8485204
-16.055782,-4.473095
-19.50504,-2.742792
-20.924353,-4.2132382
-18.739222,0.3170761
-16.541576,0.6470969
-19.65108,-3.518323
-17.033045,-1.0870425
-21.194153,0.60654974
-21.397364,-0.40205535
-20.966337,-3.7489116
-20.296947,-0.60687584
-20.891764,0.13544272
-16.772707,-4.384791
-21.892801,0.19221748
-19.471537,-0.10783082
-17.36707,-3.2905052
-20.444754,-3.1420581
-18.207508,-2.4439285
-17.88898,-1.2209843
-18.481894,-0.51647925
-18.143057,-3.4569275
-20.081396,0.73452926
-21.227463,-2.4542463
-20.96664,1.4762865
-17.318186,-0.71746314
-15.843239,-3.6404994
-16.08019,-0.6346912
12.522739,-6.584316
10.988103,-3.466891
17.24403,-6.422247
13.113273,-6.590838
18.481632,-7.4253664
15.537102,-9.466334
8.297219,-8.945547
11.63889,-5.965268
10.763466,-7.064039
11.176982,-6.8853364
11.276651,-3.601777
4.4851675,0.96274024
4.913148,4.0722013
13.505115,0.738438
11.727462,-0.6439096
13.910729,-3.232254
13.572149,-3.2987933
14.287458,0.97842485
14.480829,-7.5000854
13.930127,-6.3865
7.572933,2.778454
18.13534,-2.3563201
15.026363,-5.499064
14.118695,-2.132983
10.135671,-7.0075455
10.524878,-4.635886
16.117659,-4.2411265
7.8360066,1.9816775
5.0209646,4.3105645
9.639875,-0.7368203
17.71114,-6.357278
14.689105,-9.638913
13.352274,-7.0912943
12.667442,-4.75725
16.81409,-3.555329
